year,age,0,1,2,3,4,Total
1945,,18,20,39,15,7,99
1946,,18,21,40,15,7,101
1947,,22,21,39,13,6,101
1948,,21,21,39,13,5,99
1949,,23,21,38,13,5,100
,,,,,,,
1950,,24,21,38,12,5,100
1951,,26,21,37,12,5,101
1952,,26,20,37,12,5,100
1953,,28,20,36,12,5,101
1954,,30,20,34,12,5,101
,,,,,,,
1955,,30,20,33,12,5,100
1956,,32,19,32,12,5,100
1957,,33,19,32,12,5,101
1958,,34,19,30,11,5,99
1959,,36,19,30,11,5,101
,,,,,,,
1960,,37,18,29,11,5,100
1961,,38,18,28,11,5,100
1962,,39,19,27,11,5,101
1963,,40,19,27,10,4,100
1964,,41,19,26,10,4,100
,,,,,,,
1965,,42,19,25,10,4,100
1966,,42,20,25,10,4,101
1967,,42,20,24,10,4,100
1968,,42,21,24,9,4,100
1969,,43,21,23,9,4,100
,,,,,,,
1970,,43,22,23,9,4,101
1971,,44,22,22,8,4,100
1972,,46,22,21,8,4,101
1973,,47,21,20,7,4,99
1974,,47,21,20,7,4,99
,,,,,,,
1975,,48,21,20,7,4,100
1976,,48,22,20,7,4,101
1977,,47,23,20,7,3,100
1978,,47,22,20,7,3,99
1979,,46,23,20,8,3,100
,,,,,,,
1980,,46,23,20,8,3,100
1981,,45,24,20,8,3,100
1982,,45,23,20,8,3,99
1983,,46,22,21,8,3,100
1984,,47,21,21,9,3,101
,,,,,,,
1985,,47,20,21,9,3,100
1986,,48,19,22,8,3,100
1987,,47,19,22,8,3,99
1988,,48,19,22,8,3,100
1989,,49,19,21,8,3,100
,,,,,,,
1990,,50,19,20,8,3,100
,,,,,,,
1920,31,30,28,25,11,6,100
1921,,27,29,27,11,6,100
1922,,27,29,27,11,6,100
1923,,26,29,27,11,6,99
1924,,26,29,27,11,7,100
,,,,,,,
1925,,26,29,27,12,7,101
1926,,26,28,28,12,7,101
1927,,25,28,28,12,8,101
1928,,24,28,28,12,8,100
1929,,24,27,29,13,8,101
,,,,,,,
1930,,22,26,30,14,9,101
1931,,22,25,30,14,9,100
1932,,22,24,30,14,10,100
1933,,20,23,31,15,10,99
1934,,18,23,32,16,11,100
,,,,,,,
1935,,18,21,32,17,12,100
1936,,18,21,32,17,12,100
1937,,18,19,33,18,12,100
1938,,17,19,34,18,12,100
1939,,17,18,35,19,12,101
,,,,,,,
1940,,17,17,35,19,12,100
1941,,16,17,36,19,12,100
1942,,17,17,37,19,11,101
1943,,17,17,38,18,10,100
1944,,16,18,39,17,9,99
,,,,,,,
1945,,16,19,41,17,8,101
1946,,16,19,41,16,7,99
1947,,19,19,40,15,6,99
1948,,19,19,41,15,6,100
1949,,21,19,40,14,6,100
,,,,,,,
1950,,22,19,40,14,6,101
1951,,23,19,39,14,5,100
1952,,24,19,39,14,5,101
1953,,25,19,38,13,5,100
1954,,27,18,36,13,5,99
,,,,,,,
1955,,27,19,35,13,5,99
1956,,29,18,34,13,6,100
1957,,30,18,34,13,6,101
1958,,31,18,32,13,6,100
1959,,32,18,32,12,5,99
,,,,,,,
1960,,33,18,31,12,6,100
1961,,34,18,30,12,5,99
1962,,35,18,29,12,5,99
1963,,36,18,29,12,5,100
1964,,37,18,29,11,5,100
,,,,,,,
1965,,38,18,28,11,5,100
1966,,38,19,27,11,5,100
1967,,38,20,27,11,5,101
1968,,38,21,26,10,5,100
1969,,38,22,25,10,5,100
,,,,,,,
1970,,39,22,25,10,4,100
1971,,40,22,24,9,4,99
1972,,42,22,23,9,4,100
1973,,43,22,23,8,4,100
1974,,43,22,23,8,4,100
,,,,,,,
1975,,44,22,22,8,4,100
1976,,43,23,22,8,4,100
1977,,42,24,22,8,4,100
1978,,42,24,22,8,4,100
1979,,41,24,22,9,4,100
,,,,,,,
1980,,41,24,22,9,4,100
1981,,40,25,22,9,4,100
1982,,41,24,23,9,4,101
1983,,42,22,23,9,4,100
1984,,43,21,23,10,4,101
,,,,,,,
1985,,43,20,23,10,4,100
1986,,43,20,24,9,4,100
1987,,43,20,24,9,4,100
1988,,43,20,24,9,4,100
1989,,45,20,23,9,4,101
,,,,,,,
1920,32,28,27,26,12,7,100
1921,,25,28,28,12,7,100
1922,,25,28,28,12,7,100
1923,,24,28,28,13,7,100
1924,,24,28,28,12,8,100
,,,,,,,
1925,,24,28,28,13,8,101
1926,,23,27,29,13,8,100
1927,,23,27,29,13,9,101
1928,,22,26,29,14,9,100
1929,,22,25,30,14,10,101
,,,,,,,
1930,,20,24,31,15,10,100
1931,,20,23,31,15,11,100
1932,,20,23,31,16,11,101
1933,,18,21,32,16,12,99
1934,,16,21,32,17,13,99
,,,,,,,
1935,,16,20,33,18,13,100
1936,,16,19,33,18,13,99
1937,,17,18,33,19,14,101
1938,,16,17,34,19,14,100
1939,,16,16,35,20,13,100
,,,,,,,
1940,,15,16,36,20,13,100
1941,,15,16,36,20,13,100
1942,,15,16,37,20,12,100
1943,,16,16,39,19,11,101
1944,,15,17,41,18,9,100
,,,,,,,
1945,,15,17,42,17,9,100
1946,,14,18,43,17,8,100
1947,,18,18,42,16,7,101
1948,,17,18,43,16,6,100
1949,,19,18,42,15,6,100
,,,,,,,
1950,,20,18,41,15,6,100
1951,,21,18,40,15,6,100
1952,,22,17,40,15,6,100
1953,,23,17,39,15,6,100
1954,,25,17,38,14,6,100
,,,,,,,
1955,,25,18,37,14,6,100
1956,,26,17,36,14,6,99
1957,,27,17,35,14,6,99
1958,,28,17,34,14,6,99
1959,,30,17,34,14,6,101
,,,,,,,
1960,,30,17,33,14,6,100
1961,,32,17,32,14,6,101
1962,,32,17,31,13,6,99
1963,,33,17,31,13,6,100
1964,,34,17,31,12,5,99
,,,,,,,
1965,,34,18,30,12,6,100
1966,,34,19,29,12,6,100
1967,,35,19,29,12,5,100
1968,,34,21,28,11,6,100
1969,,35,22,27,11,5,100
,,,,,,,
1970,,35,23,27,11,5,101
1971,,36,23,26,10,5,100
1972,,38,23,25,9,5,100
1973,,39,23,25,9,5,101
1974,,38,23,25,9,5,100
,,,,,,,
1975,,39,23,24,9,5,100
1976,,38,24,24,9,5,100
1977,,37,24,24,9,5,99
1978,,38,24,24,9,5,100
1979,,37,25,24,10,5,101
,,,,,,,
1980,,36,25,24,10,5,100
1981,,36,25,25,10,5,101
1982,,37,23,25,10,5,100
1983,,38,22,25,11,5,101
1984,,38,21,25,11,5,100
,,,,,,,
1985,,38,21,26,11,5,101
1986,,38,20,26,10,5,99
1987,,38,21,27,10,5,101
1988,,39,20,26,10,5,100
,,,,,,,
1920,33,26,26,27,13,8,100
1921,,23,27,29,13,8,100
1922,,24,27,28,13,8,100
1923,,22,27,29,13,8,99
1924,,22,27,29,13,9,100
,,,,,,,
1925,,22,27,29,13,9,100
1926,,22,26,29,14,10,101
1927,,21,26,29,14,10,100
1928,,20,25,30,15,11,101
1929,,20,24,30,15,11,100
,,,,,,,
1930,,18,23,31,16,12,100
1931,,18,22,31,16,12,99
1932,,18,21,31,17,13,100
1933,,17,20,32,17,14,100
1934,,15,20,32,18,14,99
,,,,,,,
1935,,15,19,33,19,15,101
1936,,15,18,33,19,15,100
1937,,15,17,33,20,15,100
1938,,15,16,34,20,15,100
1939,,15,15,35,20,14,99
,,,,,,,
1940,,14,15,36,21,14,100
1941,,14,15,37,21,14,101
1942,,14,15,38,20,12,99
1943,,15,15,40,19,11,100
1944,,14,16,41,19,10,100
,,,,,,,
1945,,13,16,43,18,9,99
1946,,13,17,43,18,8,99
1947,,16,17,42,17,7,99
1948,,16,17,44,17,7,101
1949,,17,17,43,16,7,100
,,,,,,,
1950,,18,16,42,16,7,99
1951,,20,17,41,16,7,101
1952,,20,16,41,16,7,100
1953,,21,16,40,16,7,100
1954,,23,16,39,15,7,100
,,,,,,,
1955,,23,17,38,15,7,100
1956,,24,16,37,15,7,99
1957,,25,16,36,15,7,99
1958,,26,17,35,15,7,100
1959,,27,16,35,15,7,100
,,,,,,,
1960,,28,16,34,15,7,100
1961,,29,16,34,15,7,101
1962,,30,16,33,14,7,100
1963,,30,16,33,14,6,99
1964,,31,16,33,14,6,100
,,,,,,,
1965,,32,17,32,13,6,100
1966,,32,18,31,13,6,100
1967,,32,19,31,13,6,101
1968,,31,21,30,12,6,100
1969,,32,21,29,12,6,100
,,,,,,,
1970,,32,22,29,12,6,101
1971,,33,22,28,11,6,100
1972,,34,23,27,10,5,99
1973,,35,23,27,10,6,101
1974,,34,23,27,10,6,100
,,,,,,,
1975,,35,23,27,10,6,101
1976,,34,24,27,10,6,101
1977,,33,24,27,10,6,100
1978,,33,24,26,10,6,99
1979,,32,25,27,11,5,100
,,,,,,,
1980,,32,25,27,11,5,100
1981,,32,24,27,11,5,99
1982,,33,23,27,12,5,100
1983,,34,22,28,12,5,101
1984,,34,21,28,12,5,100
,,,,,,,
1985,,34,20,28,12,5,99
1986,,34,20,29,11,5,99
1987,,34,21,29,11,5,100
,,,,,,,
1920,34,25,25,28,13,9,100
1921,,22,26,29,14,9,100
1922,,22,26,29,14,9,100
1923,,21,27,29,14,10,101
1924,,21,26,29,14,10,100
,,,,,,,
1925,,21,26,29,14,10,100
1926,,20,25,30,15,11,101
1927,,20,24,29,15,11,99
1928,,19,24,30,15,12,100
1929,,19,23,30,16,12,100
,,,,,,,
1930,,17,22,31,17,14,101
1931,,17,21,31,17,14,100
1932,,17,20,31,18,14,100
1933,,16,19,32,18,15,100
1934,,14,19,32,19,16,100
,,,,,,,
1935,,14,18,33,20,16,101
1936,,14,17,33,20,16,100
1937,,15,16,33,20,16,100
1938,,14,16,34,21,16,101
1939,,14,15,35,21,15,100
,,,,,,,
1940,,13,14,36,21,15,99
1941,,13,15,37,21,14,100
1942,,13,14,38,21,13,99
1943,,14,14,40,20,12,100
1944,,13,15,42,20,10,100
,,,,,,,
1945,,12,16,43,19,10,100
1946,,12,16,44,19,9,100
1947,,15,16,43,18,8,100
1948,,15,16,44,18,8,101
1949,,16,16,43,17,8,100
,,,,,,,
1950,,17,15,43,17,8,100
1951,,19,16,42,17,7,101
1952,,19,15,42,17,7,100
1953,,20,15,41,17,8,101
1954,,21,15,40,16,8,100
,,,,,,,
1955,,21,16,39,16,7,99
1956,,23,15,38,16,8,100
1957,,23,15,37,16,8,99
1958,,24,16,36,16,8,100
1959,,25,15,36,16,8,100
,,,,,,,
1960,,26,15,36,16,8,101
1961,,27,15,35,16,7,100
1962,,28,15,34,15,7,99
1963,,28,15,35,15,7,100
1964,,29,15,34,15,7,100
,,,,,,,
1965,,29,16,33,14,7,99
1966,,29,17,33,14,7,100
1967,,29,18,32,14,7,100
1968,,29,20,31,13,7,100
1969,,29,20,31,13,7,100
,,,,,,,
1970,,29,21,31,13,6,100
1971,,30,22,30,12,6,100
1972,,31,22,29,11,6,99
1973,,32,22,29,11,6,100
1974,,31,22,29,11,6,99
,,,,,,,
1975,,31,22,29,11,6,99
1976,,31,23,29,11,6,100
1977,,30,24,29,11,6,100
1978,,30,24,29,11,6,100
1979,,29,24,29,12,6,100
,,,,,,,
1980,,29,24,29,12,6,100
1981,,29,23,29,12,6,99
1982,,29,22,30,13,6,100
1983,,30,21,30,13,6,100
1984,,30,20,30,13,6,99
,,,,,,,
1985,,31,20,31,13,6,101
1986,,30,20,31,12,6,99
,,,,,,,
1920,35,24,24,28,14,10,100
1921,,21,25,29,15,10,100
1922,,21,25,29,14,10,99
1923,,20,26,29,15,11,101
1924,,20,25,29,15,11,100
,,,,,,,
1925,,20,25,29,15,11,100
1926,,19,24,30,15,12,100
1927,,19,24,29,16,13,101
1928,,18,23,30,16,13,100
1929,,18,22,30,16,14,100
,,,,,,,
1930,,16,21,31,17,15,100
1931,,16,20,31,18,15,100
1932,,16,20,31,18,16,101
1933,,15,18,32,19,16,100
1934,,13,18,32,20,17,100
,,,,,,,
1935,,14,17,33,20,17,101
1936,,14,16,32,21,17,100
1937,,14,15,33,21,17,100
1938,,13,15,34,21,17,100
1939,,13,14,35,21,16,99
,,,,,,,
1940,,13,14,36,22,16,101
1941,,12,14,37,22,15,100
1942,,13,14,39,21,14,101
1943,,13,14,40,21,12,100
1944,,12,15,42,20,11,100
,,,,,,,
1945,,12,15,43,20,10,100
1946,,11,16,44,19,10,100
1947,,15,16,43,18,9,101
1948,,14,15,44,19,8,100
1949,,15,15,44,18,8,100
,,,,,,,
1950,,16,14,43,18,8,99
1951,,18,15,42,17,8,100
1952,,18,14,42,17,8,99
1953,,19,14,42,17,8,100
1954,,20,14,40,17,8,99
,,,,,,,
1955,,20,15,40,17,8,100
1956,,21,15,39,17,8,100
1957,,22,14,38,17,8,99
1958,,23,15,37,17,8,100
1959,,24,14,37,17,8,100
,,,,,,,
1960,,25,14,37,17,8,101
1961,,26,14,36,17,8,101
1962,,26,14,35,17,8,100
1963,,27,14,36,16,7,100
1964,,27,14,35,16,7,99
,,,,,,,
1965,,27,15,35,15,7,99
1966,,27,16,34,15,7,99
1967,,27,17,34,15,7,100
1968,,27,19,33,14,7,100
1969,,27,19,32,14,7,99
,,,,,,,
1970,,27,20,32,14,7,100
1971,,27,21,32,13,7,100
1972,,29,21,31,12,7,100
1973,,29,21,31,12,7,100
1974,,28,21,31,12,7,99
,,,,,,,
1975,,29,21,31,12,7,100
1976,,28,22,31,12,7,100
1977,,27,23,31,12,7,100
1978,,27,22,31,13,7,100
1979,,26,23,31,13,7,100
,,,,,,,
1980,,26,23,31,13,7,100
1981,,26,22,31,13,7,99
1982,,26,21,32,14,7,100
1983,,27,20,32,14,7,100
1984,,27,20,33,14,7,101
,,,,,,,
1985,,27,19,33,14,7,100
,,,,,,,
1920,36,23,23,28,15,11,100
1921,,20,24,29,15,11,99
1922,,21,24,29,15,11,100
1923,,19,25,29,15,12,100
1924,,19,25,29,15,12,100
,,,,,,,
1925,,19,24,29,15,12,99
1926,,18,23,30,16,13,100
1927,,18,23,29,16,14,100
1928,,17,22,30,17,14,100
1929,,17,21,30,17,15,100
,,,,,,,
1930,,15,20,31,18,16,100
1931,,16,19,30,18,16,99
1932,,16,19,30,19,17,101
1933,,14,17,32,19,17,99
1934,,13,17,32,20,18,100
,,,,,,,
1935,,13,16,32,21,18,100
1936,,13,16,32,21,18,100
1937,,13,15,33,21,18,100
1938,,13,15,34,22,17,101
1939,,13,14,35,22,17,101
,,,,,,,
1940,,12,13,36,22,16,99
1941,,12,14,37,22,15,100
1942,,12,14,39,21,14,100
1943,,13,13,40,21,13,100
1944,,12,14,42,21,11,100
,,,,,,,
1945,,11,15,44,20,11,101
1946,,11,15,44,20,10,100
1947,,14,15,43,19,9,100
1948,,13,14,44,19,9,99
1949,,15,14,44,18,9,100
,,,,,,,
1950,,16,14,43,18,9,100
1951,,17,14,42,18,9,100
1952,,17,14,43,18,9,101
1953,,18,14,42,18,9,101
1954,,19,14,41,18,9,101
,,,,,,,
1955,,19,14,40,18,9,100
1956,,20,14,39,18,9,100
1957,,21,14,39,18,9,101
1958,,22,14,38,17,9,100
1959,,23,14,37,18,9,101
,,,,,,,
1960,,23,13,37,18,9,100
1961,,24,13,36,18,8,99
1962,,25,14,36,17,8,100
1963,,25,14,37,17,8,101
1964,,26,14,36,17,8,101
,,,,,,,
1965,,26,15,35,16,8,100
1966,,26,16,35,16,8,101
1967,,26,17,35,15,8,101
1968,,25,18,34,15,8,100
1969,,25,19,34,15,8,101
,,,,,,,
1970,,25,20,34,14,7,100
1971,,25,20,34,14,7,100
1972,,26,20,33,13,7,99
1973,,26,20,33,13,7,99
1974,,26,21,33,13,8,101
,,,,,,,
1975,,26,20,33,13,8,100
1976,,25,21,33,13,8,100
1977,,24,22,33,13,8,100
1978,,24,21,33,14,8,100
1979,,24,22,33,14,8,101
,,,,,,,
1980,,24,22,33,14,8,101
1981,,23,21,33,14,8,99
1982,,23,20,34,15,7,99
1983,,24,19,34,15,7,99
1984,,24,19,35,15,7,100
,,,,,,,
1920,37,23,23,28,15,12,101
1921,,20,24,29,16,12,101
1922,,20,24,29,15,12,100
1923,,18,24,29,16,13,100
1924,,18,24,29,16,13,100
,,,,,,,
1925,,18,24,29,16,13,100
1926,,18,22,29,16,14,99
1927,,17,22,29,17,15,100
1928,,16,22,29,17,15,99
1929,,16,21,30,17,16,100
,,,,,,,
1930,,15,19,30,18,17,99
1931,,15,19,30,19,17,100
1932,,15,18,30,19,18,100
1933,,14,17,32,19,18,100
1934,,12,17,32,21,18,100
,,,,,,,
1935,,13,16,32,21,18,100
1936,,13,16,32,21,18,100
1937,,13,14,33,21,18,99
1938,,12,14,34,22,18,100
1939,,12,14,35,22,17,100
,,,,,,,
1940,,12,13,36,22,17,100
1941,,12,13,37,22,16,100
1942,,12,13,39,22,14,100
1943,,13,13,40,21,13,100
1944,,12,14,42,21,12,101
,,,,,,,
1945,,11,14,43,20,11,99
1946,,10,15,44,20,11,100
1947,,14,15,43,19,9,100
1948,,13,14,45,19,9,100
1949,,14,14,44,19,9,100
,,,,,,,
1950,,15,13,43,19,9,99
1951,,16,14,43,18,9,100
1952,,16,13,43,18,9,99
1953,,17,13,42,18,9,99
1954,,18,13,41,18,9,99
,,,,,,,
1955,,18,14,40,18,9,99
1956,,19,14,40,18,9,100
1957,,20,13,39,18,10,100
1958,,21,14,38,18,9,100
1959,,22,13,38,18,9,100
,,,,,,,
1960,,22,13,37,18,9,99
1961,,23,13,37,18,9,100
1962,,23,14,36,18,9,100
1963,,24,13,37,18,8,100
1964,,24,13,37,17,8,99
,,,,,,,
1965,,24,14,36,17,8,99
1966,,24,15,36,16,8,99
1967,,24,16,35,16,8,99
1968,,23,18,35,16,8,100
1969,,23,18,35,15,8,99
,,,,,,,
1970,,23,19,35,15,8,100
1971,,23,20,35,15,8,101
1972,,24,20,34,14,8,100
1973,,24,20,34,14,8,100
1974,,23,20,34,14,8,99
,,,,,,,
1975,,24,20,34,14,8,100
1976,,23,20,34,14,9,100
1977,,22,21,34,14,8,99
1978,,23,20,34,15,8,100
1979,,22,21,34,15,8,100
,,,,,,,
1980,,21,21,35,15,8,100
1981,,21,21,35,15,8,100
1982,,21,20,36,15,8,100
1983,,22,18,36,15,8,99
,,,,,,,
1920,38,22,22,28,15,13,100
1921,,19,23,29,16,13,100
1922,,19,23,29,16,13,100
1923,,18,24,29,16,13,100
1924,,18,24,29,16,14,101
,,,,,,,
1925,,18,23,29,16,14,100
1926,,17,22,29,17,15,100
1927,,17,22,29,17,16,101
1928,,16,21,29,17,16,99
1929,,16,20,30,18,17,101
,,,,,,,
1930,,14,19,30,19,18,100
1931,,15,18,30,19,18,100
1932,,15,18,30,19,18,100
1933,,14,17,31,20,19,101
1934,,12,17,32,21,19,101
,,,,,,,
1935,,12,16,32,21,19,100
1936,,12,15,32,22,19,100
1937,,13,14,33,22,18,100
1938,,12,14,34,22,18,100
1939,,12,14,35,22,17,100
,,,,,,,
1940,,12,13,36,22,17,100
1941,,11,13,37,22,16,99
1942,,12,13,39,22,15,101
1943,,12,13,40,21,14,100
1944,,11,14,42,21,12,100
,,,,,,,
1945,,10,14,43,21,11,99
1946,,10,14,44,21,11,100
1947,,13,14,43,19,10,99
1948,,12,14,45,20,10,101
1949,,14,14,44,19,10,101
,,,,,,,
1950,,15,13,44,19,10,101
1951,,16,14,43,19,9,101
1952,,16,13,43,19,9,100
1953,,16,13,42,19,9,99
1954,,18,13,41,19,10,101
,,,,,,,
1955,,18,14,41,19,10,102
1956,,19,13,40,19,10,101
1957,,19,13,39,19,10,100
1958,,20,13,38,18,10,99
1959,,21,13,38,19,10,101
,,,,,,,
1960,,21,12,38,19,10,100
1961,,22,13,37,19,9,100
1962,,22,13,37,19,9,100
1963,,23,13,37,18,9,100
1964,,23,13,37,18,9,100
,,,,,,,
1965,,23,14,37,17,9,100
1966,,23,15,36,17,9,100
1967,,23,16,36,17,9,101
1968,,22,18,36,16,9,101
1969,,22,18,35,16,9,100
,,,,,,,
1970,,21,19,35,16,8,99
1971,,22,19,35,15,8,99
1972,,22,19,35,15,8,99
1973,,23,19,35,15,9,101
1974,,22,20,35,15,9,101
,,,,,,,
1975,,22,19,35,15,9,100
1976,,22,19,35,15,9,100
1977,,21,20,35,15,9,100
1978,,21,19,35,15,9,99
1979,,20,20,36,16,9,101
,,,,,,,
1980,,20,20,36,16,9,101
1981,,19,20,36,16,9,100
1982,,20,19,37,16,9,101
,,,,,,,
1920,39,22,22,27,16,13,100
1921,,19,23,29,16,13,100
1922,,19,23,29,16,14,101
1923,,17,24,29,16,14,100
1924,,17,23,29,16,15,100
,,,,,,,
1925,,18,23,29,16,15,101
1926,,17,21,29,17,16,100
1927,,17,21,29,17,16,100
1928,,16,21,29,17,17,100
1929,,16,20,29,18,17,100
,,,,,,,
1930,,14,19,30,19,19,101
1931,,14,18,30,19,19,100
1932,,14,18,30,19,19,100
1933,,13,16,31,20,19,99
1934,,12,16,32,21,19,100
,,,,,,,
1935,,12,15,32,21,19,99
1936,,12,15,32,22,19,100
1937,,13,14,33,22,19,101
1938,,12,14,34,22,18,100
1939,,12,14,35,22,17,100
,,,,,,,
1940,,12,13,36,22,17,100
1941,,11,13,37,22,16,99
1942,,12,13,38,22,15,100
1943,,12,12,40,21,14,99
1944,,11,14,42,21,12,100
,,,,,,,
1945,,10,14,43,21,12,100
1946,,10,14,44,21,11,100
1947,,13,14,43,19,10,99
1948,,12,14,45,20,10,101
1949,,13,13,44,19,10,99
,,,,,,,
1950,,14,13,44,19,10,100
1951,,15,13,43,19,10,100
1952,,15,13,43,19,10,100
1953,,16,13,43,19,10,101
1954,,17,13,41,19,10,100
,,,,,,,
1955,,17,13,41,19,10,100
1956,,18,13,40,19,10,100
1957,,19,13,40,19,10,101
1958,,20,13,39,19,10,101
1959,,20,12,38,19,10,99
,,,,,,,
1960,,21,12,38,19,10,100
1961,,21,13,37,19,10,100
1962,,22,13,37,19,9,100
1963,,22,13,38,19,9,101
1964,,22,13,38,18,9,100
,,,,,,,
1965,,22,14,37,18,9,100
1966,,22,14,37,17,9,99
1967,,22,15,36,17,9,99
1968,,21,17,36,17,9,100
1969,,21,18,36,17,9,101
,,,,,,,
1970,,20,19,36,16,9,100
1971,,20,19,36,16,9,100
1972,,21,19,35,15,9,99
1973,,21,19,35,15,9,99
1974,,21,19,36,15,9,100
,,,,,,,
1975,,21,18,36,15,10,100
1976,,20,19,36,15,10,100
1977,,20,19,36,16,9,100
1978,,20,19,36,16,9,100
1979,,19,19,36,16,9,99
,,,,,,,
1980,,18,19,37,16,9,99
1981,,18,19,37,16,9,99
,,,,,,,
1920,40,21,22,27,16,14,100
1921,,19,23,29,16,14,101
1922,,19,23,29,16,14,101
1923,,17,23,29,16,15,100
1924,,17,23,29,16,15,100
,,,,,,,
1925,,17,22,28,17,15,99
1926,,17,21,29,17,16,100
1927,,16,21,29,17,17,100
1928,,15,21,29,17,17,99
1929,,15,20,29,18,18,100
,,,,,,,
1930,,14,19,30,19,19,101
1931,,14,18,30,19,19,100
1932,,14,18,30,19,19,100
1933,,13,16,31,20,20,100
1934,,12,16,32,21,20,101
,,,,,,,
1935,,12,15,32,21,19,99
1936,,12,15,32,22,19,100
1937,,12,14,33,22,19,100
1938,,12,14,34,22,18,100
1939,,12,13,35,22,18,100
,,,,,,,
1940,,11,13,36,23,17,100
1941,,11,13,37,23,16,100
1942,,12,13,39,22,15,101
1943,,12,12,40,21,14,99
1944,,11,13,42,21,13,100
,,,,,,,
1945,,10,14,43,21,12,100
1946,,10,14,44,21,11,100
1947,,13,14,43,20,10,100
1948,,12,13,45,20,10,100
1949,,13,13,44,19,10,99
,,,,,,,
1950,,14,13,44,19,10,100
1951,,15,13,43,19,10,100
1952,,15,13,43,19,10,100
1953,,15,13,43,19,10,100
1954,,17,12,42,19,10,100
,,,,,,,
1955,,17,13,41,19,10,100
1956,,18,13,40,19,10,100
1957,,18,13,40,19,10,100
1958,,19,13,39,19,10,100
1959,,20,12,38,19,10,99
,,,,,,,
1960,,20,12,38,20,10,100
1961,,21,12,37,19,10,99
1962,,21,13,37,19,10,100
1963,,21,12,38,19,9,99
1964,,22,13,38,19,9,101
,,,,,,,
1965,,22,13,37,18,9,99
1966,,21,14,37,18,10,100
1967,,21,15,37,17,9,99
1968,,20,17,36,17,10,100
1969,,20,18,36,17,10,101
,,,,,,,
1970,,19,18,36,17,9,99
1971,,19,19,36,16,9,99
1972,,20,19,36,16,9,100
1973,,20,19,36,16,10,101
1974,,20,18,36,16,10,100
,,,,,,,
1975,,20,18,36,16,10,100
1976,,19,18,37,16,10,100
1977,,19,18,37,16,10,100
1978,,19,18,37,16,10,100
1979,,18,19,37,17,10,101
,,,,,,,
1980,,17,19,37,17,10,100
,,,,,,,
1920,41,21,21,27,16,14,99
1921,,18,22,29,16,14,99
1922,,18,22,28,16,15,99
1923,,17,23,29,16,15,100
1924,,17,23,29,16,16,101
,,,,,,,
1925,,17,22,28,17,16,100
1926,,17,21,29,17,17,101
1927,,16,21,29,17,17,100
1928,,15,21,29,18,18,101
1929,,15,20,29,18,18,100
,,,,,,,
1930,,14,18,30,19,19,100
1931,,14,18,30,19,19,100
1932,,14,17,30,19,19,99
1933,,13,16,31,20,20,100
1934,,12,16,32,21,20,101
,,,,,,,
1935,,12,15,32,21,20,100
1936,,12,15,32,22,19,100
1937,,12,14,33,22,19,100
1938,,12,14,34,22,19,101
1939,,12,13,35,22,18,100
,,,,,,,
1940,,11,13,36,23,17,100
1941,,11,13,37,22,17,100
1942,,11,13,38,22,15,99
1943,,12,12,40,21,14,99
1944,,11,13,42,21,13,100
,,,,,,,
1945,,10,14,43,21,12,100
1946,,9,14,44,21,12,100
1947,,13,14,43,20,10,100
1948,,12,13,45,20,10,100
1949,,13,13,44,19,10,99
,,,,,,,
1950,,14,13,44,19,10,100
1951,,15,13,43,19,10,100
1952,,15,12,44,19,10,100
1953,,15,13,43,19,10,100
1954,,17,12,42,19,10,100
,,,,,,,
1955,,16,13,41,19,10,99
1956,,17,13,40,19,11,100
1957,,18,12,40,19,11,100
1958,,19,13,39,19,11,101
1959,,19,12,39,19,10,99
,,,,,,,
1960,,20,12,38,20,10,100
1961,,20,12,38,20,10,100
1962,,21,13,37,20,10,101
1963,,21,12,38,19,10,100
1964,,21,12,38,19,9,99
,,,,,,,
1965,,21,13,38,18,10,100
1966,,21,14,37,18,10,100
1967,,20,15,37,18,10,100
1968,,19,17,37,17,10,100
1969,,19,17,36,17,10,99
,,,,,,,
1970,,18,18,37,17,10,100
1971,,19,19,37,17,10,102
1972,,20,18,36,16,10,100
1973,,20,18,36,16,10,100
1974,,19,18,37,16,10,100
,,,,,,,
1975,,19,18,37,16,10,100
1976,,19,18,37,16,10,100
1977,,18,18,37,16,10,99
1978,,18,18,38,17,10,101
1979,,17,19,38,17,10,101
,,,,,,,
1920,42,21,21,27,16,15,100
1921,,18,22,29,16,15,100
1922,,18,22,28,16,15,99
1923,,17,23,28,17,15,100
1924,,17,23,29,16,16,101
,,,,,,,
1925,,17,22,28,17,16,100
1926,,16,21,29,17,17,100
1927,,16,21,29,17,17,100
1928,,15,20,29,18,18,100
1929,,15,20,29,18,18,100
,,,,,,,
1930,,13,18,30,19,19,99
1931,,14,18,30,19,19,100
1932,,14,17,30,19,19,99
1933,,13,16,31,20,20,100
1934,,11,16,32,21,20,100
,,,,,,,
1935,,12,15,32,21,20,100
1936,,12,15,32,22,19,100
1937,,12,14,33,22,19,100
1938,,12,14,34,22,19,101
1939,,12,13,35,22,18,100
,,,,,,,
1940,,11,13,36,22,18,100
1941,,11,13,37,22,17,100
1942,,11,13,38,22,15,99
1943,,12,12,40,21,14,99
1944,,11,13,42,21,13,100
,,,,,,,
1945,,10,14,43,21,12,100
1946,,9,14,44,21,12,100
1947,,13,14,43,20,11,101
1948,,12,13,45,20,10,100
1949,,13,13,44,20,10,100
,,,,,,,
